dest_id,destination,primary_category,secondary_category,base_appeal,trip_count,booked_users,weighted_engagement,review_count,popularity_score,bayesian_avg_rating,Sightseeing_score,Culture_score,History_score,Nature_score,Beach_score,Adventure_score,Relaxation_score
dest_1,Sigiriya Rock Fortress,History,Sightseeing,0.96,29,4,49.5,8,0.8286,4.8,0.9,0.72,0.96,0.55,0.0,0.0,0.0
dest_2,Temple of the Tooth (Kandy),Culture,History,0.95,24,2,40.0,7,0.7583,4.66,0.75,0.95,0.88,0.0,0.0,0.0,0.4
dest_3,Galle Fort,History,Sightseeing,0.93,29,1,46.0,8,0.8104,4.85,0.88,0.7,0.93,0.0,0.0,0.0,0.52
dest_4,Yala National Park,Nature,Adventure,0.92,40,9,75.5,14,0.9606,4.62,0.72,0.0,0.0,0.92,0.0,0.85,0.0
dest_5,Unawatuna Beach,Beach,Relaxation,0.88,32,4,54.0,7,0.8299,4.63,0.45,0.0,0.0,0.0,0.88,0.5,0.82
dest_6,Ella Rock,Adventure,Nature,0.87,32,6,50.0,9,0.8138,4.56,0.75,0.0,0.0,0.82,0.0,0.87,0.4
dest_7,Mirissa Beach,Beach,Relaxation,0.89,23,3,36.0,7,0.7177,4.61,0.55,0.0,0.0,0.0,0.89,0.62,0.84
dest_8,Anuradhapura Sacred City,History,Culture,0.91,29,4,54.5,8,0.8232,4.76,0.75,0.86,0.91,0.38,0.0,0.0,0.0
dest_9,Horton Plains National Park,Nature,Adventure,0.85,20,2,30.5,4,0.6621,4.46,0.7,0.0,0.0,0.85,0.0,0.8,0.35
dest_10,Nuwara Eliya Tea Estates,Sightseeing,Nature,0.84,26,3,47.0,8,0.7476,4.47,0.84,0.45,0.0,0.78,0.0,0.0,0.65
dest_11,Polonnaruwa Ancient City,History,Culture,0.9,27,5,56.5,11,0.8067,4.65,0.78,0.82,0.9,0.4,0.0,0.0,0.0
dest_12,Arugam Bay,Adventure,Beach,0.86,34,4,52.0,7,0.8314,4.59,0.48,0.0,0.0,0.0,0.84,0.86,0.65
dest_13,Sinharaja Rainforest,Nature,Adventure,0.88,23,5,37.5,5,0.7187,4.63,0.55,0.0,0.0,0.88,0.0,0.75,0.0
dest_14,Nine Arches Bridge Ella,Sightseeing,Nature,0.83,27,3,40.0,4,0.7328,4.46,0.83,0.0,0.0,0.68,0.0,0.45,0.0
dest_15,Dambulla Cave Temple,Culture,History,0.89,27,6,51.5,10,0.7875,4.57,0.8,0.89,0.85,0.0,0.0,0.0,0.0
dest_16,Hikkaduwa Beach,Beach,Adventure,0.85,32,4,55.0,8,0.8191,4.53,0.6,0.0,0.0,0.0,0.85,0.78,0.55
dest_17,Adams Peak (Sri Pada),Adventure,Culture,0.87,27,7,59.0,14,0.8004,4.57,0.55,0.8,0.65,0.62,0.0,0.87,0.0
dest_18,Pinnawala Elephant Orphanage,Sightseeing,Nature,0.82,25,4,40.0,6,0.7164,4.53,0.82,0.45,0.0,0.7,0.0,0.0,0.0
dest_19,Trincomalee Beach,Beach,Nature,0.84,24,3,39.5,7,0.719,4.68,0.0,0.0,0.0,0.65,0.84,0.55,0.72
dest_20,Udawalawe National Park,Nature,Sightseeing,0.83,24,3,34.0,5,0.6944,4.46,0.78,0.0,0.0,0.83,0.0,0.65,0.0
dest_21,Kandy Lake & Peradeniya Gardens,Sightseeing,Relaxation,0.8,34,3,55.0,8,0.8121,4.38,0.8,0.52,0.0,0.68,0.0,0.0,0.75
dest_22,Bentota Beach,Beach,Relaxation,0.86,36,6,64.5,12,0.8766,4.49,0.42,0.0,0.0,0.0,0.86,0.58,0.82
